[HC2000],RAJ2000,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag
519,05 35 23.69,-05 22 12.8, ,11.903, ,12.734,0.002,0.002
520,05 35 16.18,-05 22 11.3, ,13.118, ,13.853,0.026,0.038
521,05 35 06.89,-05 22 09.3, ,13.138, ,13.49,0.003,0.004
522,05 35 16.29,-05 22 10.4, ,10.43, ,11.716,0.004,0.009
523,05 35 13.25,-05 22 09.9, ,12.835, ,15.872,0.029,0.044
524,05 35 16.94,-05 22 09.9, ,13.201, ,13.977,0.015,0.005
525,05 35 13.83,-05 22 09.1, ,11.828, ,12.623,0.024,0.018
526,05 35 06.45,-05 22 07.6, ,12.245, ,12.721,0.002,0.003
527,05 35 17.66,-05 22 07.9, ,12.195, ,12.732,0.005,0.004
528,05 35 21.86,-05 22 08.4, ,11.208, ,11.617,0.002,0.002
529,05 35 10.88,-05 22 06.0, ,16.172, ,18.249,0.068,0.114
530,05 35 14.53,-05 22 06.6, ,11.895, ,12.233,0.007,0.003
531,05 35 19.90,-05 22 07.3, ,13.526, ,14.855,0.009,0.015
532,05 35 21.39,-05 22 07.4, ,12.335, ,13.489,0.004,0.012
533,05 35 18.24,-05 22 06.3, ,12.163, ,13.868,0.006,0.012
534,05 35 07.24,-05 22 03.9, ,14.415, ,15.737,0.005,0.012
535,05 35 18.03,-05 22 05.5, ,9.661, ,10.516,0.002,0.002
536,05 35 11.94,-05 22 04.1, ,14.071, ,15.489,0.073,0.053
537,05 35 14.31,-05 22 04.4, ,12.252, ,13.444,0.013,0.008
538,05 35 06.28,-05 22 02.7, ,9.22, ,9.918,0.001,0.003
539,05 35 11.72,-05 22 03.1, ,14.189, ,17.136,0.021,0.173
540,05 35 17.40,-05 22 03.7, ,12.39, ,15.249,0.007,0.032
541,05 35 13.81,-05 22 02.8, ,11.479, ,12.43,0.017,0.009
542,05 35 17.88,-05 22 03.0, ,10.631, ,12.756,0.004,0.008
543,05 35 18.76,-05 22 02.2, ,10.27, ,10.707,0.002,0.002
544,05 35 13.03,-05 22 01.0, ,12.297, ,12.428,0.026,0.007
545,05 35 14.63,-05 22 01.0, ,12.837, ,13.328,0.02,0.008
546,05 35 15.00,-05 22 00.0, ,9.841, ,10.027,0.003,0.003
547,05 35 25.86,-05 22 01.9, ,13.601, ,14.643,0.006,0.007
548,05 35 13.81,-05 21 59.6, ,      , ,9.44,0.006,0.004
549,05 35 22.46,-05 22 01.2, ,10.169, ,10.858,0.003,0.003
550,05 35 17.55,-05 22 00.3, ,13.27, ,15.874,0.013,0.037
551,05 35 21.23,-05 22 00.3, ,10.524, ,11.274,0.002,0.003
552,05 35 13.98,-05 21 58.0, ,11.084, ,12.476,0.014,0.01
553,05 35 10.27,-05 21 57.2, ,12.312, ,13.003,0.005,0.006
554,05 35 10.59,-05 21 56.3, ,9.914, ,10.465,0.002,0.004
555,05 35 11.79,-05 21 55.6, ,11.576, ,12.035,0.003,0.004
556,05 35 22.76,-05 21 57.7, ,12.849, ,13.924,0.009,0.01
557,05 35 24.84,-05 21 57.8, ,12.962, ,13.838,0.006,0.007
558,05 35 15.27,-05 21 55.7, ,10.812, ,12.04,0.002,0.005
559,05 35 11.37,-05 21 54.0, ,14.404, ,14.445,0.013,0.02
560,05 35 20.77,-05 21 55.2, ,10.192, ,10.719,0.003,0.004
561,05 35 24.13,-05 21 55.7, ,12.061, ,12.652,0.004,0.007
562,05 35 13.06,-05 21 53.2, ,11.384, ,12.476,0.007,0.006
563,05 35 17.62,-05 21 53.9, ,11.062, ,12.06,0.003,0.005
564,05 35 19.97,-05 21 54.0, ,11.562, ,13.416,0.003,0.006
565,05 35 16.01,-05 21 53.1, ,14.996, ,15.8,0.03,0.03
566,05 35 17.90,-05 21 53.4, ,11.885, ,14.317,0.005,0.016
567,05 35 16.65,-05 21 52.7, ,15.889, ,      ,0.037,
568,05 35 25.56,-05 21 54.0, ,15.004, ,15.321,0.047,0.034
569,05 35 11.93,-05 21 50.1, ,13.101, ,14.823,0.009,0.02
570,05 35 10.47,-05 21 49.6, ,15.316, ,18.874,0.056,0.517
571,05 35 16.39,-05 21 50.6, ,12.478, ,12.957,0.006,0.008
572,05 35 13.33,-05 21 49.9, ,13.639, ,15.702,0.049,0.039
573,05 35 11.81,-05 21 49.3, ,9.633, ,11.917,0.002,0.004
574,05 35 20.93,-05 21 50.9, ,10.06, ,10.764,0.002,0.005
575,05 35 14.69,-05 21 49.5, ,12.875, ,14.564,0.024,0.025
576,05 35 10.82,-05 21 48.9, ,13.622, ,17.776,0.006,0.122
577,05 35 25.44,-05 21 51.5,>,10.051, ,      ,0.002,0.009
578,05 35 18.54,-05 21 50.1, ,12.466, ,14.425,0.005,0.01
579,05 35 09.53,-05 21 48.1, ,13.395, ,14.536,0.003,0.006
580,05 35 19.55,-05 21 49.2, ,11.879, ,13.856,0.003,0.007
581,05 35 15.02,-05 21 47.4, ,12.603, ,13.439,0.006,0.008
582,05 35 10.97,-05 21 46.4, ,12.834, ,15.762,0.006,0.025
583,05 35 18.60,-05 21 47.7, ,14.623, ,16.784,0.037,0.099
584,05 35 16.01,-05 21 47.0, ,11.452, ,11.918,0.002,0.004
585,05 35 21.68,-05 21 47.2,>,9.611, ,      ,0.004,0.006
586,05 35 17.56,-05 21 45.6, ,9.038, ,10.069,0.002,0.003
587,05 35 16.98,-05 21 45.4, ,      , ,9.148,0.002,0.004
588,05 35 09.93,-05 21 43.4, ,10.85, ,12.225,0.002,0.005
589,05 35 18.38,-05 21 44.2, ,11.957, ,12.885,0.005,0.007
590,05 35 20.73,-05 21 44.4, ,      , ,      ,0.005,0.009
591,05 35 19.16,-05 21 43.7, ,12.151, ,13.167,0.003,0.004
592,05 35 09.35,-05 21 41.6, ,10.391, ,11.712,0.003,0.004
593,05 35 22.29,-05 21 42.6, ,13.222, ,14.639,0.008,0.013
594,05 35 18.05,-05 21 41.2, ,14.583, ,15.146,0.019,0.01
595,05 35 18.86,-05 21 41.3, ,10.269, ,10.577,0.004,0.003
596,05 35 20.54,-05 21 41.0, ,11.635, ,12.332,0.007,0.008
597,05 35 22.71,-05 21 41.2, ,13.432, ,14.322,0.006,0.006
598,05 35 15.77,-05 21 39.8, ,11.532, ,12.002,0.003,0.004
599,05 35 13.07,-05 21 39.0, ,13.749, ,15.961,0.031,0.112
600,05 35 15.41,-05 21 39.5, ,12.254, ,13.497,0.006,0.01
601,05 35 06.21,-05 21 35.9, ,15.048, ,16.223,0.009,0.026
602,05 35 13.73,-05 21 35.9, ,10.403, ,13.183,0.002,0.009
603,05 35 07.22,-05 21 34.4, ,14.866, ,16.273,0.011,0.023
604,05 35 22.64,-05 21 37.5, ,12.986, ,14.074,0.005,0.009
605,05 35 10.43,-05 21 34.6, ,12.712, ,14.18,0.005,0.012
606,05 35 12.85,-05 21 33.9,>,9.742,>,12.303,0.002,0.01
607,05 35 23.22,-05 21 35.9, ,11.706, ,12.299,0.004,0.006
608,05 35 12.89,-05 21 33.7,>,9.74,>,12.307,0.003,0.007
609,05 35 12.67,-05 21 33.4, ,13.937, ,19.329,0.042,1.829
610,05 35 25.49,-05 21 35.6,>,10.571,>,11.227,0.004,0.012
611,05 35 11.77,-05 21 32.8, ,11.675, ,13.446,0.005,0.01
612,05 35 10.47,-05 21 32.5, ,13.309, ,15.052,0.012,0.014
613,05 35 20.14,-05 21 33.7, ,9.746, ,10.459,0.003,0.008
614,05 35 25.48,-05 21 34.5,>,10.547,>,11.433,0.005,0.007
615,05 35 16.20,-05 21 32.4, ,11.387, ,11.973,0.003,0.006
616,05 35 12.39,-05 21 31.6, ,13.032, ,14.694,0.011,0.02
617,05 35 24.74,-05 21 34.0, ,13.787, ,14.876,0.011,0.016
618,05 35 17.22,-05 21 31.8, ,      , ,      ,0.004,0.007
619,05 35 24.11,-05 21 32.8, ,10.856, ,11.606,0.003,0.007
620,05 35 16.64,-05 21 30.9, ,12.52, ,13.44,0.004,0.01
621,05 35 09.78,-05 21 28.3, ,9.54, ,10.519,0.004,0.008
622,05 35 20.84,-05 21 30.1, ,10.995, ,11.736,0.004,0.009
623,05 35 16.98,-05 21 29.4, ,13.241, ,13.871,0.01,0.012
624,05 35 15.30,-05 21 28.8, ,12.709, ,15.062,0.006,0.013
625,05 35 07.74,-05 21 27.1, ,13.566, ,14.518,0.004,0.012
626,05 35 24.49,-05 21 30.0, ,14.831, ,16.477,0.01,0.018
627,05 35 09.70,-05 21 24.9, ,11.675, ,12.305,0.007,0.011
628,05 35 23.34,-05 21 25.5, ,10.364, ,11.564,0.003,0.006
629,05 35 13.98,-05 21 23.3, ,9.63, ,10.932,0.002,0.007
630,05 35 09.90,-05 21 22.5, ,13.878, ,15.313,0.008,0.032
631,05 35 17.07,-05 21 23.7, ,12.422, ,12.896,0.005,0.008
632,05 35 20.59,-05 21 22.9, ,14.504, ,15.71,0.022,0.021
633,05 35 13.62,-05 21 21.1, ,13.048, ,13.671,0.004,0.008
634,05 35 08.43,-05 21 19.8, ,12.785, ,13.69,0.004,0.008
635,05 35 15.84,-05 21 21.2, ,12.755, ,13.926,0.007,0.01
636,05 35 06.46,-05 21 18.8, ,12.433, ,12.968,0.003,0.007
637,05 35 20.85,-05 21 21.5, ,10.976, ,12.163,0.004,0.012
638,05 35 26.07,-05 21 21.1, ,9.277, ,10.214,0.002,0.008
639,05 35 07.95,-05 21 17.2, ,12.133, ,12.907,0.004,0.008
640,05 35 17.36,-05 21 17.9, ,14.978, ,16.648,0.037,0.112
641,05 35 23.89,-05 21 18.7, ,11.394, ,12.821,0.003,0.009
642,05 35 26.26,-05 21 18.9, ,12.857, ,14.098,0.006,0.017
643,05 35 11.32,-05 21 15.6, ,12.142, ,14.14,0.004,0.012
644,05 35 16.59,-05 21 15.6, ,12.976, ,13.787,0.007,0.01
645,05 35 23.67,-05 21 16.4, ,12.869, ,14.33,0.004,0.013
646,05 35 15.41,-05 21 14.0, ,9.919, ,11.045,0.003,0.007
647,05 35 10.32,-05 21 13.1, ,9.978, ,10.697,0.004,0.007
648,05 35 13.11,-05 21 13.4, ,12.207, ,12.78,0.006,0.006
649,05 35 20.85,-05 21 13.7, ,14.092, ,15.674,0.017,0.072
650,05 35 16.19,-05 21 10.9, ,11.823, ,12.848,0.017,0.045
651,05 35 16.01,-05 21 09.9, ,9.239, ,10.063,0.003,0.007
652,05 35 16.29,-05 21 09.2, ,10.381, ,11.285,0.004,0.009
653,05 35 13.44,-05 21 07.4, ,11.09, ,12.13,0.002,0.006
654,05 35 19.84,-05 21 08.0, ,13.183, ,14.05,0.01,0.034
655,05 35 18.97,-05 21 07.8, ,10.172, ,11.008,0.003,0.01
656,05 35 11.51,-05 21 06.4, ,15.09, ,19.355,0.025,0.426
657,05 35 14.72,-05 21 06.3, ,10.109, ,11.424,0.002,0.006
658,05 35 17.51,-05 21 06.2, ,13.188, ,15.779,0.01,0.034
659,05 35 12.86,-05 21 05.0, ,12.607, ,13.972,0.012,0.009
660,05 35 20.06,-05 21 06.0, ,      , ,9.896,0.004,0.012
661,05 35 17.22,-05 21 05.4, ,14.367, ,16.322,0.023,0.066
662,05 35 23.93,-05 21 06.4, ,13.15, ,15.029,0.006,0.023
663,05 35 21.56,-05 21 05.6, ,10.833, ,12.61,0.003,0.015
664,05 35 11.90,-05 21 03.4, ,9.209, ,10.792,0.003,0.007
665,05 35 19.51,-05 21 04.5, ,11.971, ,12.867,0.004,0.01
666,05 35 11.29,-05 21 03.1, ,12.259, ,13.365,0.004,0.009
667,05 35 07.74,-05 21 01.5, ,10.586, ,12.136,0.003,0.007
668,05 35 24.63,-05 21 04.4, ,11.053, ,13.655,0.002,0.012
669,05 35 23.36,-05 21 03.7, ,16.026, ,17.272,0.051,0.092
670,05 35 07.84,-05 21 00.4, ,13.468, ,14.664,0.006,0.008
671,05 35 10.20,-05 21 00.4, ,13.362, ,13.777,0.005,0.006
672,05 35 11.86,-05 21 00.3, ,9.881, ,12.903,0.004,0.009
673,05 35 14.96,-05 21 00.8, ,12.849, ,14.069,0.006,0.012
674,05 35 09.49,-05 20 58.8, ,12.695, ,13.079,0.004,0.006
675,05 35 16.95,-05 20 59.9, ,11.569, ,12.574,0.005,0.012
676,05 35 17.98,-05 20 59.6, ,14.397, ,17.796,0.015,0.182
677,05 35 23.44,-05 21 00.0, ,12.719, ,14.558,0.005,0.02
678,05 35 20.23,-05 20 57.0, ,      , ,      ,0.02,0.014
679,05 35 17.93,-05 20 55.5, ,11.27, ,11.604,0.008,0.013
680,05 35 21.11,-05 20 55.5, ,13.475, ,16.273,0.006,0.056
681,05 35 17.86,-05 20 54.1, ,9.555, ,10.569,0.004,0.01
682,05 35 13.22,-05 20 52.8, ,10.457, ,11.663,0.003,0.006
683,05 35 13.02,-05 20 52.9, ,14.113, ,14.907,0.013,0.015
684,05 35 15.02,-05 20 52.6, ,14.659, ,15.38,0.032,0.036
685,05 35 13.38,-05 20 51.6, ,13.607, ,15.763,0.016,0.042
686,05 35 18.96,-05 20 52.2, ,10.803, ,11.972,0.003,0.009
687,05 35 15.20,-05 20 51.4, ,15.277, ,15.917,0.042,0.036
688,05 35 20.53,-05 20 52.0, ,10.69, ,12.041,0.004,0.02
689,05 35 17.95,-05 20 49.3, ,12.155, ,13.286,0.004,0.013
690,05 35 14.28,-05 20 48.5, ,14.081, ,15.672,0.007,0.026
691,05 35 19.27,-05 20 49.5, ,13.108, ,14.282,0.007,0.016
692,05 35 12.40,-05 20 47.9, ,11.575, ,12.709,0.005,0.012
693,05 35 08.23,-05 20 46.9, ,12.074, ,12.924,0.003,0.005
694,05 35 15.17,-05 20 48.2, ,14.635, ,15.249,0.053,0.031
695,05 35 18.93,-05 20 48.6, ,13.622, ,14.56,0.009,0.019
696,05 35 12.65,-05 20 47.3, ,14.639, ,15.997,0.009,0.029
697,05 35 20.27,-05 20 47.4, ,14.947, ,16.811,0.031,0.118
698,05 35 12.28,-05 20 45.2, ,10.247, ,11.094,0.005,0.007
699,05 35 12.83,-05 20 43.6,<,9.988, ,10.693,0.007,0.014
700,05 35 20.09,-05 20 43.9,<,10.586, ,11.743,0.008,0.032
701,05 35 20.58,-05 20 43.2,<,11.461, ,12.36,0.015,0.06
702,05 35 26.36,-05 25 40.1, ,9.04, ,9.19,0.001,0.005
703,05 35 13.80,-05 22 07.1, ,9.325, ,9.856,0.004,0.003
704,05 35 14.06,-05 22 05.7, ,13.037, ,14.572,0.018,0.029
705,05 35 14.09,-05 22 23.0, ,      , ,9.364,0.048,0.007
706,05 35 12.79,-05 21 57.9,>,13.335,>,14.768,0.025,0.032
707,05 35 13.11,-05 22 47.1, ,13.416, ,14.771,0.018,0.023
708,05 35 11.92,-05 22 50.9, ,15.039, ,17.182,0.052,0.196
709,05 35 11.63,-05 22 46.1, ,16.06, ,16.513,0.062,0.107
710,05 35 16.22,-05 24 56.0,>,10.194,>,11.225,0.002,0.004
711,05 35 08.05,-05 21 17.8, ,14.357, ,14.032,0.008,0.007
712,05 35 12.77,-05 21 58.9, ,12.591, ,14.081,0.014,0.021
713,05 35 18.71,-05 22 56.9, ,      , ,9.627,0.005,0.003
714,05 35 14.88,-05 23 05.1, ,10.406, ,11.201,0.004,0.007
715,05 35 07.17,-05 24 45.8, ,16.267, ,17.995,0.029,0.078
716,05 35 09.03,-05 25 26.0, ,16.776, ,18.246,0.074,0.11
717,05 35 09.20,-05 25 31.9, ,17.292, ,18.458,0.091,0.093
718,05 35 07.52,-05 21 45.9, ,16.975, ,17.927,0.049,0.064
719,05 35 13.70,-05 25 31.9, ,17.278, ,18.32,0.099,0.106
720,05 35 11.51,-05 25 05.8, ,17.114, ,18.304,0.132,0.142
721,05 35 13.18,-05 24 24.9, ,15.182, ,16.049,0.064,0.045
722,05 35 09.79,-05 24 06.7, ,17.432, ,17.118,0.111,0.045
723,05 35 09.91,-05 24 10.5, ,16.071, ,16.541,0.036,0.027
724,05 35 09.03,-05 23 26.3, ,16.51, ,16.737,0.025,0.019
725,05 35 08.27,-05 23 07.8, ,16.075, ,17.085,0.037,0.039
726,05 35 25.67,-05 25 43.5, ,17.031, ,18.093,0.056,0.079
727,05 35 20.36,-05 25 25.7, ,18.289, ,      ,0.33,
728,05 35 19.51,-05 23 39.7, ,16.337, ,17.058,0.259,0.2
729,05 35 21.12,-05 22 50.2, ,16.024, ,17.381,0.044,0.064
730,05 35 21.71,-05 22 38.3, ,15.149, ,16.445,0.048,0.096
731,05 35 20.79,-05 22 36.3, ,15.787, ,17.189,0.102,0.158
732,05 35 20.77,-05 22 39.5, ,16.799, ,16.777,0.229,0.09
733,05 35 22.33,-05 22 13.1, ,16.54, ,19.166,0.253,1.041
734,05 35 21.28,-05 22 09.1, ,15.741, ,16.121,0.079,0.055
735,05 35 18.30,-05 21 49.5, ,15.816, ,16.558,0.064,0.049
736,05 35 23.34,-05 20 48.1, ,16.912, ,18.955,0.034,0.161
737,05 35 26.29,-05 20 59.7, ,16.417, ,19.348,0.043,0.426
738,05 35 16.32,-05 20 59.0, ,15.351, ,16.442,0.071,0.118
739,05 35 15.32,-05 20 55.0, ,16.153, ,19.54,0.052,0.518
740,05 35 08.32,-05 21 02.4, ,15.883, ,16.973,0.029,0.046
741,05 35 06.67,-05 22 44.6, ,16.256, ,      ,0.018,
742,05 35 06.54,-05 22 28.6, ,17.587, ,18.146,0.117,0.104
743,05 35 08.10,-05 23 15.2, ,16.89, ,17.612,0.165,0.075
744,05 35 15.07,-05 24 22.1, ,15.355, ,16.216,0.086,0.11
745,05 35 16.55,-05 22 53.7, ,15.893, ,16.567,0.098,0.077
746,05 35 12.14,-05 21 48.5, ,14.953, ,18.519,0.04,0.427
747,05 35 12.16,-05 21 53.8, ,14.89, ,17.89,0.083,0.115
748,05 35 09.70,-05 21 52.1, ,16.223, ,18.185,0.048,0.177
749,05 35 08.34,-05 23 21.9, ,17.399, ,18.041,0.077,0.058
750,05 35 11.42,-05 21 44.6, ,15.669, ,      ,0.045,
751,05 35 12.20,-05 22 30.8, ,14.836, ,19.856,0.082,1.007
752,05 35 12.27,-05 22 27.1, ,14.212, ,17.365,0.053,0.091
753,05 35 12.43,-05 22 08.7, ,14.286, ,17.577,0.066,0.105
754,05 35 23.04,-05 24 59.9,>,10.724,>,10.35,0.014,0.021
755,05 35 14.71,-05 22 35.5, ,12.436, ,12.299,0.024,0.005
756,05 35 14.67,-05 22 38.6, ,14.287, ,15.061,0.136,0.043
757,05 35 14.69,-05 22 38.2,>,13.543,>,15.219,0.03,0.073
758,05 35 16.24,-05 22 24.3,>,12.948,>,14.38,0.103,0.059
759,05 35 14.50,-05 22 29.4, ,14.881, ,      ,0.196,
760,05 35 14.01,-05 21 51.9, ,15.673, ,18.649,0.378,0.614
761,05 35 12.46,-05 21 37.8, ,14.882, ,17.431,0.08,0.21
762,05 35 12.37,-05 21 54.8, ,13.906, ,16.839,0.034,0.079
763,05 35 23.31,-05 25 05.8, ,14.794, ,15.83,0.032,0.061
764,05 35 17.97,-05 23 53.6, ,14.623, ,15.502,0.026,0.024
765,05 35 18.53,-05 23 47.9, ,14.638, ,15.772,0.057,0.083
766,05 35 20.00,-05 23 28.8, ,15.856, ,16.605,0.038,0.056
767,05 35 11.68,-05 23 36.0, ,14.684, ,18.07,0.055,0.189
768,05 35 16.14,-05 22 45.1, ,13.385, ,15.903,0.038,0.048
769,05 35 15.96,-05 22 41.1, ,13.164, ,17.419,0.039,0.624
770,05 35 12.68,-05 21 47.6, ,14.775, ,17.313,0.097,0.173
771,05 35 14.86,-05 22 44.1, ,14.614, ,15.925,0.065,0.046
772,05 35 11.98,-05 22 08.0, ,14.069, ,      ,0.047,
773,05 35 14.82,-05 22 23.2, ,13.023, ,14.412,0.028,0.041
774,05 35 18.23,-05 24 13.0, ,13.86, ,14.672,0.021,0.025
775,05 35 25.45,-05 21 51.5,>,10.049,>,10.822,0.002,0.008
776,05 35 19.27,-05 20 49.9,>,13.208,>,14.257,0.005,0.011
777,05 35 07.57,-05 22 00.5, ,17.626, ,20.793,0.121,1.055
778,05 35 23.19,-05 23 58.3, ,17.649, ,18.374,0.891,0.799
