HC2000,ID_Kim,_RAJ2000,_DEJ2000,vr,vr_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling_param_O33,note
135,,83.8095,-5.40686111,28.56,0.91,,,,,3610,300,49.33,2.26,0.24,
188,559,83.83175,-5.39925,29.74,0.27,0.41,0.52,-0.83,0.18,3475,73,6.9,1.72,0.01,
202,615,83.81666667,-5.39805556,25.69,0.75,2.8,0.06,-1.56,0.08,3393,204,42.27,2.95,0.75,E1
204,,83.840875,-5.39830556,24.73,0.55,,,,,3712,50,48.16,2.56,0.28,
215,,83.80116667,-5.39669444,27.91,0.27,,,,,3641,33,9.03,1.41,0.2,
217,,83.83770833,-5.39694444,29.73,0.35,,,,,3614,33,47.35,0.89,0.23,
219,87,83.81316667,-5.39630556,24.08,0.48,1.87,0.06,-0.65,0.02,3486,57,20.78,1.4,0.43,
220,23,83.81175,-5.39625,33.47,0.23,-1.66,0.4,0.08,0.13,3484,19,9.04,0.3,0.02,
223,164,83.81433333,-5.39597222,27.45,0.23,1.1,0.08,-0.68,0.23,3359,16,9.74,0.69,0.32,
224,,83.79475,-5.39575,25.94,0.15,,,,,3859,21,24.94,0.58,0,
228,,83.8025,-5.39561111,27.46,0.27,,,,,3782,30,40.37,0.78,0.46,
229,536,83.83904167,-5.39594444,28.3,0.21,0.12,0.14,0.67,0.27,3613,79,12.19,1.21,0.15,
240,,83.80604167,-5.39455556,27.11,0.44,,,,,3640,65,14.15,1.28,3.89,
244,180,83.82108333,-5.39438889,28.18,0.11,-0.02,0.15,0.83,0.4,3436,17,21.29,0.83,0.04,
245,,83.81229167,-5.39425,31.05,0.21,,,,,3869,18,17.03,0.35,0,
248,200,83.81566667,-5.394,26.56,0.78,1.81,0.43,-2.83,0.2,3438,48,39.39,3.82,0.35,E2
250,197,83.81625,-5.39388889,29.93,0.46,1.7,0.4,-3.85,1.18,2975,91,15.9,1.86,0.39,E2
253,,83.825875,-5.39330556,28.67,0.36,,,,,4000,117,6.21,1.48,2.66,
258,521,83.81,-5.39269444,28.02,0.19,-0.11,0.23,-1.65,0.03,3568,41,7.71,1.03,0.82,
259,,83.821125,-5.39277778,27.53,0.08,,,,,3501,44,32.49,1.95,0.54,
261,206,83.81408333,-5.39261111,26.39,0.2,-0.72,0.24,0.87,0.12,3374,14,1.49,0.31,0,
275,65,83.81220833,-5.39141667,30.88,0.01,-1.18,0.14,1.19,0.06,3860,17,17.59,0.3,0,
277A,530,83.83525,-5.39158333,25.88,0.36,-0.81,0.12,0.14,0.06,3444,51,12.9,2.65,0.36,B
282,44,83.82866667,-5.39136111,26.96,0.28,-0.85,0.24,1.35,0.03,3394,22,5.59,1.05,1.06,
288,71,83.82966667,-5.39086111,26.61,0.17,-0.42,0.04,-0.52,0.41,3666,54,18.2,0.53,0.25,
291,211,83.816,-5.39044444,29.06,0.22,1.1,0.45,-1.63,0.07,3181,33,15.83,0.72,0.42,B
295,,83.82320833,-5.39025,21.85,0.93,,,,,3662,305,22.69,7.18,0.76,
302,221,83.81133333,-5.38969444,29.24,0.11,-0.24,0.4,0.71,0.13,3541,21,13.73,1.12,0.48,
306A,,83.816,-5.38958333,29.12,0.5,,,,,4201,229,25.92,1.36,1.12,B
306B,,83.816,-5.38958333,21.15,0.54,,,,,3473,35,40.15,2.53,0.64,B
313,198,83.82279167,-5.38919444,26.35,0.19,1.07,0.86,3.21,0.2,4206,235,10.04,0.93,0.64,E2
322,,83.817875,-5.38794444,24.9,0.27,,,,,3414,18,37.47,0.92,0.07,
324,226,83.81183333,-5.38777778,30.77,0.34,0.7,0.55,-1.87,0.04,3449,36,5.12,1.21,0.01,
331,121,83.82604167,-5.38769444,31.83,0.69,1.26,0.24,1.03,0.04,4034,452,18.92,1.17,0.64,
332A,183,83.82425,-5.38766667,25.43,0.32,-1.61,0.17,0.6,0.38,4012,37,16.48,0.43,0.01,BC
370,227,83.81616667,-5.38388889,31.24,0.17,0.01,0.74,-0.46,0.09,3802,45,14.43,0.34,0.66,
375,560,83.82075,-5.38361111,33.19,0.45,0.78,0.13,1.15,0.04,4225,244,26.95,0.7,0.41,
386,,83.813625,-5.38241667,27.44,0.18,,,,,3673,13,11.2,0.1,0.11,
388,532,83.82316667,-5.38244444,30.59,0.46,0.65,0.23,0.35,0.04,4279,142,17.83,1.46,0.52,
389,,83.81516667,-5.38233333,30.86,0.15,,,,,3566,34,26.89,0.46,0.68,
408,143,83.83008333,-5.38075,23.52,0.94,-1.51,0.71,-1.07,0.1,3660,105,50.79,1.85,0.02,
410,62,83.82133333,-5.38058333,21.42,1.91,-0.85,0.29,0.32,0.12,3910,94,57.77,2.25,0.03,
412,151,83.81808333,-5.38030556,32.93,0.32,1.21,0.2,0.51,0.27,3563,28,31.96,1.61,0.8,
413,35,83.81454167,-5.38016667,25.51,0.41,-0.43,0.04,-0.27,0.74,3643,44,28.79,0.55,0.05,
420,154,83.816,-5.37941667,25.91,0.24,-0.38,0.31,-1.82,0.25,3510,35,24.16,0.67,0,
425,,83.82479167,-5.37930556,24.94,0.25,,,,,3576,22,21.83,0.32,0,
431,700,83.81216667,-5.37752778,33.49,0.31,1.68,0.6,0.05,0.94,3603,22,18.8,0.97,0.65,
436,,83.82658333,-5.37708333,32.93,0.08,,,,,3658,347,16.3,0.9,0.11,
440,,83.82233333,-5.37661111,28.52,0.48,,,,,3715,88,23.57,1.07,1.37,
450,,83.820875,-5.37586111,26.23,0.24,,,,,3674,54,12.14,0.74,0.02,
504,64,83.81395833,-5.371,27.48,0.78,-0.29,0.15,-0.32,0.02,3969,295,30.65,1.86,3.79,
522A,110,83.817875,-5.36955556,24.75,0.47,0.03,0.1,-1.97,0.14,3441,24,33.48,1.98,0.31,B
522B,642,83.817875,-5.36955556,24.54,0.28,-0.69,0.11,0.48,0.33,3170,39,21.94,1.2,0.8,B
546,567,83.8125,-5.36666667,21.51,0.18,2.25,0.09,0.96,0.11,3793,56,15.32,1.18,0.27,V
703,137,83.8075,-5.36863889,33.39,0.06,-1.51,0.9,-1.03,0.52,3584,27,9.14,0.41,1.24,
713,,83.82795833,-5.38247222,22.95,0.31,,,,,4988,192,6.75,1.54,1.6,