mass,teff_2myr,teff_1myr,teff_3myr,logL_2myr,logL_1myr,logL_3myr
0.1,3744.0070285155025,3823.4658605423365,3753.2328657910116,-1.1339367057683851,-0.7880441579452938,-1.3296909739717921
0.12,3805.907982383436,3894.1013303804457,3824.9252511587033,-1.0714301387529113,-0.6584061243602011,-1.239513522429437
0.14,3869.72408041962,3951.581231718865,3892.0694580524005,-1.0046838873862856,-0.5768001052165751,-1.1581202309646692
0.16,3928.078217897462,3993.234269950296,3948.2798221254357,-0.9426135124457286,-0.560066722590312,-1.0874360712875952
0.2,4037.1361557457453,4085.033541397974,4055.1419018784036,-0.8311991764770686,-0.5241374178212685,-0.9643979013752737
0.25,4171.291785811868,4212.376925039387,4178.663364599744,-0.709954011316562,-0.4452705195679065,-0.8376797632486799
0.3,4308.1814888738645,4350.080998315522,4304.877514590398,-0.6011182545221999,-0.35444629839863273,-0.7275528296021917
0.35,4437.910385906573,4489.805020762593,4424.0948651034805,-0.5048283805750153,-0.2639853868832924,-0.6315545058701076
0.39999999999999997,4567.259428362142,4621.3704630897255,4546.911266739907,-0.41556266164910105,-0.1787517659684498,-0.542996090278664
0.44999999999999996,4689.223180101896,4741.272129642708,4661.196372618348,-0.33338259688475524,-0.09824633081777057,-0.4628730104213732
0.49999999999999994,4775.022651355216,4827.121972307725,4754.974930084275,-0.2631857816560473,-0.030758670456365027,-0.3896284878386074
0.5499999999999999,4841.848508803243,4907.241586669254,4819.802392618368,-0.20293301615898798,0.03246471211112746,-0.32863049513798626
0.5999999999999999,4905.113223236951,4976.443990588277,4882.807074257184,-0.1467643313428133,0.08972571742515437,-0.2707965293348322
0.6499999999999999,4966.72670627925,5038.436188349573,4944.027554624668,-0.09326479512092878,0.1425582068241728,-0.2151833643462905
0.7,5032.357013758871,5093.958800740867,5005.92534678512,-0.03984713904723691,0.19141634509075328,-0.1605908208148646
0.7499999999999998,5211.798804878725,5246.886170768933,5205.351122763334,0.02802953233076429,0.25017885921470284,-0.08533688693724563
0.7999999999999998,5264.599772237227,5286.601981896815,5265.655247235145,0.0768924203076799,0.2922093865340342,-0.030701395813434104
0.8499999999999999,5315.4297622219565,5322.97465621328,5333.782982941155,0.12490344763006679,0.33206611678498266,0.026872842744944562
0.8999999999999999,5365.56069567966,5356.521665334127,5403.8658047314475,0.17286295092462906,0.3702941947204263,0.08621738671502345
0.9499999999999997,5415.952819572549,5389.264402141386,5478.009943686334,0.22115621646813838,0.4075922884023456,0.14884922798637407
0.9999999999999998,5467.409195719432,5419.575667317091,5558.429253367519,0.2706873248495173,0.44384967367083195,0.21647126201829675
1.0499999999999998,5521.021229936943,5450.039268364684,5648.664555469305,0.32205431601677453,0.4799352196280239,0.29206746394468086
1.0999999999999999,5577.005101960694,5479.1407436329355,5750.753572036904,0.3761994961148046,0.5154684449955443,0.3781671571943068
1.1499999999999997,5637.730410577229,5508.550020799191,5871.139977013901,0.4347892004583108,0.5512940326169234,0.47973477384085017
1.1999999999999997,5704.984768950442,5537.7107848547475,6015.3049927834745,0.499839387142499,0.5874207792483375,0.5984869076337402
1.2499999999999998,5781.586018044515,5567.4342186503445,6182.387384951306,0.5744046768472142,0.6242815367020198,0.7165394922970862
1.2999999999999996,5871.394938762877,5598.120115262631,6377.980498358742,0.6623360959395937,0.6622768876095778,0.8174316295745442
1.3499999999999996,5978.322231731252,5629.641714162622,6632.457514545902,0.7656913306448426,0.7016904689651778,0.9067748565918227
1.3999999999999997,6104.436765084206,5662.962221752695,6998.902496728447,0.8746329632585448,0.7432197692479944,0.9892209355527803
1.4499999999999997,6250.005822679566,5698.308861664751,7560.926924772789,0.968698900985704,0.787885002205533,1.0660043554640395
1.4999999999999998,6430.648023834229,5736.886837224535,8201.494778702974,1.0510772615471682,0.8367262936216581,1.138853117892449
1.5499999999999996,6676.838315851597,5780.183146422647,8882.64008606451,1.1268575128153484,0.8917058095406334,1.2075647992023757
1.5999999999999996,7059.1137713896815,5829.282772880912,9585.923595376627,1.198467636091181,0.9550114926091976,1.270404271557059
1.6499999999999997,7581.646312578094,5887.519822121446,10272.86132294852,1.2666646489191005,1.0295680507948637,1.3235226057750047
1.6999999999999995,8148.564198969724,5958.161270793579,10913.401600895022,1.3317460436738806,1.1169585626836174,1.3662825949721573
1.7499999999999996,8747.774012747952,6042.280363702831,11498.643088374403,1.3937213936816315,1.206453183575161,1.4026085770659533
1.7999999999999996,9371.409120409804,6138.896735785888,12032.76056033872,1.4519463636335976,1.2833033250149442,1.4369652794846788
1.8499999999999996,10020.09574012447,6258.080901421611,12520.921759328334,1.5071140334260538,1.3512486022205734,1.4699608502446437
1.8999999999999997,10683.745524599412,6413.040789933372,12952.320203816022,1.5582374245012531,1.4140836631418447,1.4998502777085243
1.9499999999999995,11339.101084355683,6633.180893132996,13328.137725664645,1.6033173714915823,1.4736752140150875,1.5263896842895894
1.9999999999999996,11969.355506538852,6974.103885229129,13644.904306648408,1.6420247225385536,1.5308480774518107,1.5497179544924309
2.05,12570.795110843439,7381.815096782725,13908.647044991492,1.6762313247300549,1.5857820944362984,1.5708261962845806
2.0999999999999996,13144.10475186141,7816.303507265362,14136.746846050846,1.7084873826391342,1.6386141807626766,1.5923903699995348
2.1499999999999995,13696.858611928305,8273.082872177309,14352.74764491557,1.7405317247984977,1.689409528767359,1.6167934856618569
2.1999999999999997,14222.94015207743,8749.179956065882,14575.596778286612,1.7716831782397022,1.7381769846823056,1.6454941306665478
2.2499999999999996,14707.232074092384,9240.98094422759,14808.06549089377,1.8003677308665895,1.7845290204685436,1.6770225608851905
2.3,15141.76350005734,9749.585258374469,15049.76586559248,1.8254788710255647,1.829048369645676,1.710438803160792
2.4,15839.204319702456,10821.13373505853,15533.275680847808,1.8651576035167081,1.9135795243113112,1.7772212611646772
2.6,16668.713647309956,13111.040276339527,16449.126432738198,1.924099139626825,2.0625350451458746,1.9037179943440887
2.8000000000000003,17337.055755335703,15309.86775273067,17268.805938903453,2.015504646243194,2.1743351949838394,2.018385751302923
3.0000000000000004,18066.624641734772,17372.665387447352,18031.56598951041,2.1212033929632517,2.276622938531007,2.1239996632487923
3.2000000000000006,18772.24129902434,19241.199205496923,18750.37015180612,2.2200262340671,2.3633618510727814,2.221853561685092
3.400000000000001,19436.521793862703,20218.883263132946,19426.94628052359,2.311043928282087,2.392547422173827,2.3127194870771306
3.600000000000001,20066.917824046108,20312.972633048557,20065.391941699327,2.395846050834611,2.3990122679026844,2.397565303592955
3.800000000000001,20673.343267637843,20709.59595359871,20673.66848052962,2.4756483073550104,2.4672502084580756,2.4774409835667734
4.000000000000002,21259.350884504485,21276.507684761807,21260.179654425145,2.5509928685672487,2.5461570418622226,2.5529051078276335
4.200000000000001,21820.285303332563,21831.399720575166,21821.302365707557,2.6222293078563346,2.619013807255798,2.624336031369989
4.400000000000002,22353.76434716245,22359.527182371774,22354.244668529656,2.689496112528817,2.6867238433919076,2.6918054774201075
4.600000000000001,22867.569095421502,22870.277570366863,22867.569095421502,2.753426735720529,2.7507227570696826,2.755977588828355
4.8000000000000025,23364.688750261783,23366.00774399923,23364.412315992853,2.8144777678117503,2.8116716106750075,2.817264818715309
5.000000000000002,23846.244909404868,23847.385439783495,23845.695835645834,2.8728317163792196,2.8698591535387985,2.8758571584331563
5.200000000000003,24313.64100625051,24314.200854969386,24313.08117042253,2.9286712732938676,2.9254742475943627,2.931959155714676
5.400000000000002,24766.235598289863,24767.376151849847,24765.0950972531,2.982170976554528,2.9787319236244025,2.9857105958409
5.600000000000003,25200.942178650057,25202.971011535705,25198.808146371666,3.0333023250245335,3.029616484656272,3.0370760555994307
5.8000000000000025,25623.448451760414,25625.676868218754,25621.226411466956,3.0824419969225705,3.078489959420807,3.0865160001230567
6.0000000000000036,26035.744441757328,26038.057602849036,26033.09525673915,3.129856056471716,3.125597742931096,3.134213475905417
6.200000000000003,26438.74442920302,26441.484090128433,26435.938307249457,3.1755621279625528,3.1710279169138165,3.180214191323851
6.400000000000004,26832.768564388432,26835.51906322756,26829.67370713529,3.219710577058609,3.214870426557024,3.2246626320720653
7.0,27961.066836928014,27965.725237065697,27955.670207236646,3.3435783664101746,3.3378139520829295,3.3494264074973277
8.0,29678.570025429497,29684.51789766323,29671.170126975972,3.525771966346222,3.518338181498176,3.533332840504674
9.0,31243.47184071184,31253.30376381683,31231.194357758304,3.684554933693603,3.6753746859472383,3.6938978367103283
10.0,32671.57294257383,32682.717308866162,32655.162706363342,3.8246469421369884,3.813588974649772,3.8359270319584136
11.0,33995.61322656481,34010.11962392148,33973.70658551817,3.9500606551943074,3.9370488363285054,3.9635379938667694
12.0,35217.42333149174,35238.190911809594,35184.40449836834,4.063064708661145,4.048127710679818,4.0790726227876
14.0,37426.160767109526,37456.742034321025,37369.898707015425,4.260292323573147,4.241214195697583,4.281462776400914
16.0,39368.034461038944,39418.869779879904,39279.50425342909,4.4283675073117035,4.404662407629735,4.4541140471597345
18.0,41098.447639966296,41171.25934191939,40966.03451692425,4.573615383102582,4.5454588540267595,4.603740211265201
20.0,42633.51651331236,42744.418796885046,42438.87200629546,4.700747521338964,4.668418525410931,4.735022481242468
